,scipy,triangle,test5
0,0.001900911331177,0.000773429870605,0.000161170959473
1,0.000226736068726,9.94E-05,0.000152349472046
2,0.000248908996582,0.000104427337646,0.000176191329956
3,0.000356912612915,0.000118494033813,0.000258207321167
4,0.000607252120972,0.000195503234863,0.000444650650024
5,0.001441717147827,0.000449895858765,0.001114845275879
6,0.002954721450806,0.000931024551392,0.002286434173584
7,0.005988121032715,0.002031564712524,0.004879713058472
8,0.016794919967651,0.007397174835205,0.014640331268311
9,0.039115905761719,0.016627788543701,0.029400110244751
10,0.095688343048096,0.043002605438233,0.101459741592407
11,0.286034822463989,0.140464305877686,0.316177129745483
12,0.650213956832886,0.53511118888855,1.08480858802795
13,1.40007376670837,1.87035655975342,3.55313229560852
14,4.1509997844696,8.94102907180786,10.1272323131561
15,9.05939102172852,24.1868433952332,33.8387141227722
16,19.3596487045288,66.1630675792694,103.889117002487
17,80.1688618659973,238.124832630157,358.002117156982
18,195.542864084244,609.189767360687,625.790152072907
19,,1675.1334707737,2096.02843236923
20,0.66698145866394,0.034266710281372,0.172106981277466
21,0.024956703186035,0.002273559570313,0.022748470306397
22,0.016351461410523,0.003397226333618,0.126806259155273
23,0.007213830947876,0.000614881515503,0.013422966003418
24,0.084230661392212,0.028649091720581,0.00583815574646
25,0.061537265777588,0.00842022895813,0.012629747390747
26,0.139346599578857,0.022125005722046,0.054670572280884
27,0.09583306312561,0.008285999298096,0.025347232818604
28,0.227596998214722,0.070177555084229,0.033653974533081
29,0.062032699584961,0.02859377861023,0.044118642807007
30,0.123590469360352,0.098117113113403,0.108501434326172
31,0.476002216339111,0.15648627281189,0.323404312133789
32,0.713220834732056,0.591227054595947,1.07587814331055
33,1.51550245285034,2.07573699951172,3.86211895942688
34,4.12246918678284,8.47236061096191,12.2984483242035
35,9.24574446678162,24.0609505176544,32.221667766571
36,20.2607853412628,63.4299881458283,68.8568894863129
37,80.4831750392914,234.456042766571,315.80162358284
38,179.186994791031,614.681166648865,1462.63554406166
39,,1679.73715424538,3320.15928840637
40,0.239729404449463,0.383016347885132,0.096899509429932
41,0.304456949234009,0.233052968978882,0.002311706542969
42,0.001064777374268,0.000429391860962,0.015778541564941
43,0.16031551361084,0.03464937210083,0.003622531890869
44,0.157835483551025,0.015302181243897,0.002991914749146
45,0.068392276763916,0.069490432739258,0.041536569595337
46,0.048273801803589,0.004987716674805,0.013222455978394
47,0.155871868133545,0.009846448898315,0.020203828811646
48,0.103087663650513,0.072417259216309,0.045219421386719
49,0.075751066207886,0.075715303421021,0.040490627288818
50,0.103101491928101,0.073259592056275,0.12907338142395
51,0.296571969985962,0.136379480361938,0.340069532394409
52,0.676040649414063,0.545045852661133,1.09245562553406
53,1.5430474281311,2.04698657989502,3.45651936531067
54,4.44578886032105,8.60679721832275,11.3502976894379
55,9.18926334381104,23.7692692279816,24.1269421577454
56,20.3654043674469,65.5624027252197,110.122550487518
57,78.9070155620575,232.321190595627,331.922310352325
58,174.735717058182,598.576484680176,1432.45256757736
59,,1676.46678161621,1966.58952879906
